Date,S&P 500,S&P 493,Mag 7,Alpha Picks,RSP Equal Weight
02/26/24,7.09%,4.87%,6.80%,27.16%,2.27%
02/27/24,7.28%,5.03%,7.17%,27.97%,2.71%
02/28/24,7.11%,5.06%,6.66%,25.32%,2.74%
02/29/24,7.69%,5.38%,7.74%,28.44%,3.29%
03/01/24,8.56%,6.20%,8.06%,30.86%,3.90%
03/04/24,8.43%,6.34%,6.44%,34.62%,4.16%
03/05/24,7.33%,5.60%,4.05%,32.65%,3.60%
03/06/24,7.89%,6.27%,3.75%,33.99%,4.25%
03/07/24,9.01%,6.95%,5.39%,35.08%,5.08%
03/08/24,8.31%,6.51%,5.05%,33.11%,4.91%
03/11/24,8.19%,6.61%,4.70%,29.85%,5.06%
03/12/24,9.40%,7.19%,6.48%,32.79%,5.34%
03/13/24,9.20%,7.13%,6.06%,34.30%,5.36%
03/14/24,8.91%,6.53%,7.32%,31.90%,4.39%
03/15/24,8.21%,6.10%,5.84%,30.96%,4.23%
03/18/24,8.90%,6.49%,7.37%,29.99%,4.54%
03/19/24,9.53%,7.05%,8.02%,29.33%,5.16%
03/20/24,10.51%,7.83%,9.44%,31.27%,6.07%
03/21/24,10.86%,8.52%,8.55%,34.22%,6.85%
03/22/24,10.71%,7.90%,9.10%,33.59%,6.20%
03/25/24,10.36%,7.62%,8.38%,33.22%,5.95%
03/26/24,10.05%,7.53%,7.97%,32.20%,5.79%
03/27/24,11.02%,8.84%,8.61%,32.80%,7.46%
03/28/24,11.15%,9.22%,8.06%,33.64%,7.93%
04/01/24,10.92%,8.66%,8.79%,33.44%,7.28%
04/02/24,10.13%,7.85%,8.14%,31.73%,6.33%
04/03/24,10.26%,7.89%,8.63%,33.33%,6.48%
04/04/24,8.93%,6.61%,7.71%,30.84%,5.35%
04/05/24,10.14%,7.54%,9.32%,32.47%,6.09%
04/08/24,10.10%,7.55%,9.37%,31.95%,6.34%
04/09/24,10.28%,7.75%,9.93%,29.63%,6.75%
04/10/24,9.23%,6.36%,9.37%,28.23%,5.04%
04/11/24,10.04%,6.39%,11.67%,29.59%,4.95%
04/12/24,8.47%,4.76%,10.58%,27.18%,3.29%
04/15/24,7.17%,3.95%,8.27%,25.18%,2.36%
04/16/24,6.94%,3.72%,7.68%,26.91%,1.83%
04/17/24,6.33%,3.40%,6.94%,24.72%,1.54%
04/18/24,6.10%,3.33%,6.14%,23.34%,1.45%
04/19/24,5.21%,3.50%,4.08%,19.85%,1.73%
04/22/24,6.13%,4.27%,4.78%,21.65%,2.55%
04/23/24,7.38%,5.24%,6.33%,24.64%,3.45%
04/24/24,7.40%,5.27%,6.95%,24.86%,3.59%
04/25/24,6.90%,5.05%,4.85%,25.38%,3.29%
04/26/24,7.97%,5.15%,7.71%,27.94%,3.44%
04/29/24,8.30%,5.53%,7.99%,28.53%,4.13%
04/30/24,6.62%,4.26%,5.26%,24.49%,2.59%
05/01/24,6.27%,3.76%,6.03%,23.33%,2.24%
05/02/24,7.23%,4.28%,7.76%,24.99%,2.86%
05/03/24,8.57%,4.95%,10.49%,26.49%,3.57%
05/06/24,9.68%,5.84%,11.56%,29.02%,4.39%
05/07/24,9.84%,6.21%,11.53%,29.68%,4.67%
05/08/24,9.83%,6.29%,11.40%,29.88%,4.61%
05/09/24,10.41%,7.02%,11.95%,31.47%,5.47%
05/10/24,10.61%,7.35%,11.56%,30.81%,5.66%
05/13/24,10.59%,7.20%,11.86%,30.00%,5.60%
05/14/24,11.13%,7.59%,12.68%,31.50%,6.05%
05/15/24,12.43%,8.71%,13.89%,35.75%,6.89%
05/16/24,12.23%,8.54%,13.55%,33.38%,6.69%
05/17/24,12.36%,8.78%,13.79%,33.36%,6.84%
05/20/24,12.48%,8.60%,14.27%,34.66%,6.78%
05/21/24,12.76%,8.67%,15.06%,35.09%,6.72%
05/22/24,12.47%,8.42%,14.67%,33.45%,6.39%
05/23/24,11.65%,7.07%,13.30%,31.92%,4.95%
05/24/24,12.40%,7.45%,14.61%,35.42%,5.62%
05/28/24,12.42%,6.75%,15.08%,34.83%,4.83%
05/29/24,11.61%,5.62%,14.85%,33.81%,3.64%
05/30/24,10.96%,5.68%,13.05%,33.62%,4.06%
05/31/24,11.86%,7.04%,12.96%,32.65%,5.39%
06/03/24,12.02%,6.60%,13.66%,31.99%,4.88%
06/04/24,12.20%,6.61%,14.04%,28.35%,4.59%
06/05/24,13.52%,7.33%,15.79%,31.49%,5.29%
06/06/24,13.50%,7.29%,16.13%,29.97%,5.07%
06/07/24,13.40%,7.19%,16.08%,28.90%,4.75%
06/10/24,13.70%,7.44%,16.30%,30.67%,5.03%
06/11/24,14.01%,7.02%,18.92%,29.08%,4.64%
06/12/24,14.97%,7.33%,20.85%,30.86%,5.24%
06/13/24,15.22%,7.41%,20.63%,31.69%,4.98%
06/14/24,15.21%,7.24%,20.56%,29.58%,4.29%
06/17/24,16.10%,8.04%,21.99%,30.97%,5.02%
06/18/24,16.38%,8.41%,21.01%,32.14%,5.32%
06/20/24,16.10%,8.56%,20.55%,30.37%,5.35%
06/21/24,15.93%,8.54%,20.91%,30.23%,5.47%
06/24/24,15.60%,8.91%,20.40%,29.29%,5.96%
06/25/24,16.03%,8.35%,21.98%,30.25%,5.26%
06/26/24,16.22%,8.01%,23.65%,29.26%,4.84%
06/27/24,16.33%,8.06%,24.49%,30.66%,4.91%
06/28/24,15.89%,8.19%,22.41%,30.95%,5.02%
07/01/24,16.20%,7.72%,24.87%,31.69%,4.26%
07/02/24,16.92%,8.19%,26.74%,32.11%,4.68%
07/03/24,17.51%,8.31%,27.46%,33.10%,4.79%
07/05/24,18.16%,8.46%,30.17%,31.46%,4.70%
07/08/24,18.29%,8.54%,29.91%,32.13%,4.94%
07/09/24,18.40%,8.44%,29.90%,31.09%,4.81%
